part,group,material,pieces,size_x_mm,size_y_mm,size_z_mm
camlobe_l_in_7_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,33.4,36.0
camlobe_l_in_7_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,33.4,36.0
camlobe_r_ex_2_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,27.0,39.3
camlobe_r_ex_2_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,27.0,39.3
camlobe_r_ex_4_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,39.3,27.0
camlobe_r_ex_4_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,39.3,27.0
camlobe_r_ex_6_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,32.8,36.3
camlobe_r_ex_6_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,32.8,36.3
camlobe_r_ex_8_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,36.3,32.8
camlobe_r_ex_8_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,36.3,32.8
camlobe_r_in_2_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,39.4,27.0
camlobe_r_in_2_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,39.4,27.0
camlobe_r_in_4_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,27.0,39.4
camlobe_r_in_4_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,27.0,39.4
camlobe_r_in_6_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,33.4,36.0
camlobe_r_in_6_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,33.4,36.0
camlobe_r_in_8_1,03 Heads and Valvetrain,steel_nitrided,1,11.0,36.0,33.4
camlobe_r_in_8_2,03 Heads and Valvetrain,steel_nitrided,1,11.0,36.0,33.4
camshaft_l_ex,03 Heads and Valvetrain,steel_nitrided,1,482.0,28.8,28.8
camshaft_l_in,03 Heads and Valvetrain,steel_nitrided,1,482.0,28.8,28.8
camshaft_r_ex,03 Heads and Valvetrain,steel_nitrided,1,482.0,28.8,28.8
camshaft_r_in,03 Heads and Valvetrain,steel_nitrided,1,482.0,28.8,28.8
coil_1,03 Heads and Valvetrain,rubber_blk,6,36.0,104.6,116.6
coil_2,03 Heads and Valvetrain,rubber_blk,6,36.0,104.6,116.6
coil_3,03 Heads and Valvetrain,rubber_blk,6,36.0,104.6,116.6
coil_4,03 Heads and Valvetrain,rubber_blk,6,36.0,104.6,116.6
coil_5,03 Heads and Valvetrain,rubber_blk,6,36.0,104.6,116.6
coil_6,03 Heads and Valvetrain,rubber_blk,6,36.0,104.6,116.6
coil_7,03 Heads and Valvetrain,rubber_blk,6,36.0,104.6,116.6
coil_8,03 Heads and Valvetrain,rubber_blk,6,36.0,104.6,116.6
collets_ex_1_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_1_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_2_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_2_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_3_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_3_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_4_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_4_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_5_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_5_2,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
collets_ex_6_1,03 Heads and Valvetrain,steel_nitrided,1,6.0,12.3,12.6
